Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	Sample_0	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15	Sample_16	Sample_17	Sample_18	Sample_19	Sample_20	Sample_21	Sample_22	Sample_23	Sample_24	Sample_25	Sample_26	Sample_27	Sample_28	Sample_29	Sample_30	Sample_31	Sample_32	Sample_33	Sample_34	Sample_35	Sample_36	Sample_37	Sample_38	Sample_39	Sample_40	Sample_41
Q96NH3	Q96NH3	Q96NH3	Q96NH3		11818.5	12485.4	12794.9	13653.7	10876.3	13013.8	12340.3	11517.9	13671.5	5450.82	5985.64	6259.24	11066.4	12464.7	11777.1	13467.5	13068.9	12220.4	5608.31	5447.5	6434.95	11874.6	10810.6	10483.4	10651.5	11977.9	12606.7	12496.2	13742.0	12331.5	11743.2	12584.4	13637.3	11713.9	12686.4	12156.9	11326.7	12456.0	13499.7	11922.1	11855.1	14456.4
Q6IWH7	Q6IWH7	Q6IWH7	Q6IWH7		1617.05	1417.4	1653.17	1754.16	1259.38	1373.7	1289.42	1563.66	1177.08	1771.32	2313.96					1256.47	2142.53	2400.64	2105.43	1676.49	1215.05				1325.77	2080.56	1645.44	1241.43	2153.35	1222.07	1725.36	1267.76	1753.16	2090.27	2141.36	1475.87	2149.9	2078.73	3138.99	2718.01	1483.53	
P41143	P41143	P41143	P41143				1144.54									886.344		2078.6		861.36	1326.55	921.108	620.339	896.358	2164.24	1299.49			1621.46	1435.77			1031.25	1015.11	921.11		1196.49				609.501			1065.05	2149.93	
Q96KM6	Q96KM6	Q96KM6	Q96KM6		68965.7	69063.0	71490.6	69850.5	70058.2	68519.4	70024.3	65374.4	67369.0	70841.4	70433.0	69535.9	65786.1	65547.1	65151.6	67696.8	64785.9	67828.1	70526.8	66876.7	68284.3	65175.7	68448.0	67113.4	73141.1	72395.7	73223.1	69294.5	67721.7	68148.7	71207.1	69836.4	66486.6	66419.3	64257.1	67152.3	73054.4	71032.0	73066.2	65079.5	61292.0	66561.1
Q969R8	Q969R8	Q969R8	Q969R8		5347.52					5049.78	5082.54	5001.63	4623.48	4003.25	4120.2	4707.97	4460.96	4378.16		4500.65	4322.9	3985.14	4207.45	3549.75	4633.7	4637.62		5162.53	3675.36					4223.61	4024.15		3991.24	4799.94			4164.89			5196.78		
P54105	P54105	P54105	P54105		8339.38	7414.49	8064.87	8582.89	8479.26	8233.37	6931.18	5491.38	5732.13	8018.8	7532.12	8232.91	7308.22	8213.12	8049.29	8840.8	8484.05	8490.01	9016.43	7830.35	8037.43	9014.02	8967.32	8552.52	7917.86	8670.78	8007.31	8050.07	8551.9	7385.49	5125.5	6308.19	6477.44	8496.99	8063.67	7601.74	8113.57	7917.91	8689.85	8341.13	8082.32	8304.26
P63208	P63208	P63208	P63208		32936.1	32021.6	32421.1	29943.5	28492.6	34048.0	33918.5	31822.7	31753.6	35945.3	34064.2	33258.2	26844.2	29524.5	28031.5	30747.0	31674.7	30581.4	32154.7	29385.2	29070.1	32559.2	31730.1	34451.4	33936.0	32087.0	31024.2	30375.7	33023.4	35909.6	31811.5	34185.7	31504.5	34711.8	31531.1	30236.2	35359.0	35611.7	33349.1	33624.3	29089.8	30844.6
Q6ZT89	Q6ZT89	Q6ZT89	Q6ZT89		5010.01	5004.92	5590.0	4704.53	4743.12	5485.85	4310.51	5323.45	5046.83	5983.36	5551.22	4650.77	5095.65	4625.46	4740.76	5904.52	5443.6	5053.39	5740.54	5287.47	5289.97	5537.03	5386.16	5155.62	5557.78	5520.65	5022.81	5008.04	5145.3	5123.75	4862.82	6076.97	5234.52	5538.29	5346.74	4237.78	5656.22	5562.64	5790.98	5038.17	4703.15	4788.36
Q96PF1	Q96PF1	Q96PF1	Q96PF1		33325.0	28960.0	32568.5	27283.3	29773.1	34700.6	37897.5	39300.2	36068.9	38240.9	32873.3	31183.1	41975.1	42570.9	46212.6	37354.2	36509.2	28929.4	26307.1	33428.3	33114.7	37862.4	37478.0	36165.9	39703.9	39410.7	42900.3	39751.4	40478.8	39311.0	38612.9	39925.2	37583.2	36513.0	34624.9	32821.9	35332.2	37087.2	39759.2	28988.5	37087.6	37372.6
Q9NXG2	Q9NXG2	Q9NXG2	Q9NXG2		55941.6	58022.5	56468.5	57545.9	55387.1	61957.8	54494.0	56627.9	58101.4	60581.6	54612.8	60374.5	24870.0	24701.0	24871.4	58387.2	57709.4	60192.4	58819.1	59062.1	58625.7	24480.1	24763.4	23690.0	60192.3	60686.5	63348.9	59044.6	58559.6	60712.1	54770.3	53491.5	57004.3	63459.5	59872.0	58525.6	58040.5	57084.8	58222.0	62059.6	58623.6	60466.1
Q9Y2U5	Q9Y2U5	Q9Y2U5	Q9Y2U5		2968.04	4790.1	4397.05	6561.39	7630.58	6360.72	7430.84	8587.99	5420.84	6302.97	7259.97	4897.11	9620.4	9730.77	12814.2	3787.62	8784.72	6246.06	9895.32	9327.75	7437.99	7692.49	9478.41	8960.43	7228.22	7416.52	7966.9	10424.0	9158.92	7145.82	7247.1	7625.75	7691.79	7133.68	4281.6	7831.73	5357.91	6416.46	7999.26	8423.7	8879.71	7423.69
Q86T96	Q86T96	Q86T96	Q86T96		16987.6	17911.1	17056.1	16491.2	15949.3	17893.2	22002.1	21077.5	27215.6	20184.3	13595.1	13003.4	16484.6	19438.8	17787.1	13496.3	11269.8	9173.88	14729.1	15426.4	12982.4	11903.9	14742.0	11286.4	10262.9	13519.3	9716.58	20606.2	22392.8	23178.8	12479.1	14114.1	14688.9	9026.94	9312.19	11463.4	16138.1	13601.4	15415.7	15788.6	12423.6	11950.6
Q495N2	Q495N2	Q495N2	Q495N2		15317.2	17069.7	18160.1	19103.9	19500.4	16540.1	19078.0	19788.5	18204.2	19290.1	18283.3	17648.2	21011.9	19615.1	18944.6	15912.4	17639.8	18083.3	19734.6	14377.9	18016.9	18929.6	21272.2	22733.2	18532.3	20379.0	19660.9	16142.4	17984.1	18149.8	17830.5	18698.5	16402.4	17802.7	16322.1	19653.3	17380.9	19150.7	18711.4	20181.6	17516.5	18563.9
Q14147	Q14147	Q14147	Q14147		66895.1	65841.5	66410.7	59688.1	59099.6	55611.1	58558.7	54359.3	55650.6	62971.6	59446.9	63472.0	57742.8	58434.1	57229.2	62540.7	64872.9	62908.1	69106.9	60470.5	67744.3	58360.2	60575.6	60770.3	63771.1	67040.0	65821.4	71620.6	66552.9	68336.9	64987.6	69164.6	68363.3	62060.4	61312.6	63182.2	67644.2	68714.6	67019.0	61207.4	57127.4	55706.6
O60235	O60235	O60235	O60235		122967.0	122867.0	123417.0	124295.0	128802.0	133877.0	129557.0	124543.0	106948.0	134604.0	124763.0	125939.0	130055.0	131164.0	133377.0	117488.0	117418.0	115107.0	125554.0	122959.0	120027.0	119091.0	121554.0	126362.0	129372.0	125840.0	116176.0	102682.0	109399.0	110017.0	119741.0	118647.0	121946.0	121920.0	119807.0	118588.0	122938.0	124786.0	122354.0	113773.0	124042.0	127990.0
Q8N8S7	Q8N8S7	Q8N8S7	Q8N8S7		24711.0	24488.4	23730.4	26623.3	26312.0	25121.5	28281.2	25070.5	21735.5	24954.5	26488.6	22910.9	26122.2	27093.8	24719.6	25395.9	23816.8	25401.7	28176.1	27035.2	26040.0	24808.4	25214.8	24449.9	25979.8	26213.7	24141.4	23471.7	21071.9	18518.7	21361.9	26313.9	21233.7	20481.9	17953.6	18171.1	25594.2	23104.9	23037.4	21071.5	20243.2	22984.7
Q9Y4F5	Q9Y4F5	Q9Y4F5	Q9Y4F5		8953.73	8408.72	8466.27	9326.36	8430.53	7884.24	7413.61	6942.99	6973.99	9840.87	7440.51	8058.74	7851.59	8665.24	9361.56	7225.51	6706.39	6717.55	7799.0	8148.88	6992.79	10669.4	7654.84	8587.13	8899.12	7606.37	7697.69	8534.45	7529.5	8371.39	8253.82	7715.69	8487.63	9061.94	7272.44	7648.24	9312.34	9724.38	8157.84	8637.33	7554.64	7644.12
Q13557	Q13557	Q13557	Q13557		1644.57	2063.75	1940.75	1314.22	1778.19	1676.6	1381.6	1325.52	1513.36	1705.67	1975.18	1821.98	1657.14	1212.51	1629.51	1859.93	1619.06	1495.78	1479.14	1745.35	1561.22	1257.42	1557.9	1438.15	2089.52	1900.62	1653.75	1678.01	1946.45	1467.75	2098.63	2185.22	2373.83	1958.36	1897.19	1832.63	2035.85	2339.74	1712.91	1702.33	1945.64	1727.97
Q13557;Q8NEX6	Q13557;Q8NEX6	Q13557;Q8NEX6	Q13557;Q8NEX6		6344.63	5339.91	6101.5	4879.82	5534.61	4672.46	4904.82	4141.58	4284.52	4893.59	4523.86	4878.72	5660.21	4861.83	4650.12	5248.98	4521.68	4778.56	4933.28	5392.99	4777.25	5030.76	4305.33	5229.07	2886.87	4261.28	3803.54	4321.63	4696.59	4759.09	4310.76	4347.32	5047.75	4605.99	4253.76	5171.38	5255.7	4910.49	4950.86	2792.61	4592.63	4822.92
Q9NYL5	Q9NYL5	Q9NYL5	Q9NYL5		14830.3	13210.7	14142.6	12634.6	9755.82	10610.2	13343.7	12961.4	12631.9	11580.3	12983.9	10226.1	12359.1	11778.9	10480.6	12467.4	14195.3	11916.8	11177.6	13770.5	11814.5	12797.8	11744.8	12711.6	10459.3	13241.3	12810.1	13306.4	11660.2	13429.4	13532.1	13295.3	11911.1	12418.2	11190.6	12118.1	12751.5	14508.3	10879.5	11676.1	13813.7	13439.9
Q9H3T2	Q9H3T2	Q9H3T2	Q9H3T2		6915.15	7041.81	5839.77	6393.02	5420.56	8893.79	6824.31	7825.74	8372.76	7779.26	3875.58	7577.23	5982.61	7443.69	7169.62	7191.0	8072.3	6609.48	6549.37	8459.3	8851.29	7425.4	8688.76	6663.77	6493.54	7886.87	6315.72	8267.09	7900.53	9368.63	7877.3	7076.57	9319.39	5549.64	5369.42	9429.14	7611.11	9914.46	9147.12	7144.1	8758.1	6458.23
Q8N9V3	Q8N9V3	Q8N9V3	Q8N9V3		15105.2	14296.8	12607.9	11209.2	10044.2	7827.68	11587.3	6273.28	7683.81	10061.2	8632.6	8319.81	15228.8	17633.0	5917.3	6573.78	9499.29	9634.9	9295.69	10976.6	9637.01	12441.9	9322.84	15344.4	7656.75	6542.74	9888.69	16821.5	14146.8	12570.7	10127.1	9657.39	11033.6	8840.32	7926.19	9446.45	12677.3	10049.0	16167.6	8433.34	7840.65	15272.2
P51160	P51160	P51160	P51160		6462.7	5963.22	6128.43	7905.47	6100.14	5735.9	6279.8	5421.9		6155.2	6742.31	7150.82	6906.32	5646.67	5882.34	4954.01	5811.74	7175.45	5040.99	6986.96	6820.34	5716.82	5847.68	6123.55	5081.09		4499.01	5804.37	6127.34	5902.0	6907.65	5683.53	6505.03	6522.48	8269.59	5815.02		5757.78	3579.93	7721.69	7001.06	6280.31
Q14469	Q14469	Q14469	Q14469		6106.68	6512.72	6495.12	6109.81	5970.74	5961.15	6356.7	5746.96	5755.54	6424.07	6077.54	6652.76	5142.77	5646.16	5511.23	6425.6	6390.09	6631.01	6247.27	6514.5	6540.74	5090.02	6066.06	5230.41	4842.41	5196.27	5253.42	6192.11	5747.9	6561.25	6718.03	6343.94	6817.75	6914.58	6629.85	5790.42	4785.2	5302.32	6005.93	6018.93	6155.79	5925.17
A6NKX4	A6NKX4	A6NKX4	A6NKX4		15046.1	13999.7	13271.0	12943.2	12601.2	13262.6	12893.2	12625.8	10862.1	13291.8	12425.7	12342.2	12560.7	12373.3	12149.5	13043.8	13900.5	11877.3	13406.7	13270.2	11643.3	13352.4	12816.4	12051.6	12486.4	12402.1	11154.9	12154.1	12060.2	11658.4	12601.0	12363.5	11463.6	13633.0	12912.2	14774.1	12374.7	12350.2	10634.0	13246.3	12360.3	12228.2
Q9UBW7	Q9UBW7	Q9UBW7	Q9UBW7		3478.27	2198.8	2958.48	3971.44	3976.13	3472.99	2899.4	2705.67	3716.66	3016.08	3078.46	2974.83	2406.79	993.248	1844.14	3033.25	2276.23	3908.87	3453.87	3592.62	3915.86	1897.43	1818.29	2545.11	3428.21	3318.99	4865.71	3824.35	3413.07	3503.53	3379.49	3481.89	3553.06	3226.1	3511.19	2732.67	4073.87	3870.88	3411.36	3756.81	2855.0	2562.11
Q9NYL4	Q9NYL4	Q9NYL4	Q9NYL4		8456.04	9311.76	8053.74	10005.2	10135.6	9227.76	8481.09	8933.04	8562.53	7613.13	10119.2	9450.96	8368.04	8384.29	7624.78	7689.83	7856.41	8631.98	8840.04	9861.58	8270.84	8894.3	8716.33	9143.84	8732.79	8868.15	9203.99	7847.68	7902.35	8736.54	6599.12	6848.36	8686.09	6846.15	7457.34	7071.93	7659.57	6594.6	7389.67	9080.17	8488.62	8505.71
Q8IYX7;Q5JTN6;A6NHL2	Q8IYX7;Q5JTN6;A6NHL2	Q8IYX7;Q5JTN6;A6NHL2	Q8IYX7;Q5JTN6;A6NHL2				28105.8								28333.8			26873.3	25784.9		23872.6	23912.4	26573.2	26873.2	30248.4	20978.4		23650.1	28316.2	24729.9	21076.6			21774.3				20686.6	16930.9	23160.8					19824.1	
Q86VZ2	Q86VZ2	Q86VZ2	Q86VZ2		7159.06	6305.28	7947.42	7950.34	10311.6	6933.76	5462.14	6568.08	5612.56	8526.89	8343.52	8164.21	7806.9	6570.49	8710.6	7414.87	7600.25	7121.05	7435.98	8305.4	9146.46	7742.03	8596.98	7304.04	8719.99	8792.75	8219.86	7108.01	9997.78	6740.55	12222.3	8436.06	9463.84	8094.63	6708.22	7868.56	9024.1	8378.51	8498.42	8683.24	8581.21	9772.41
Q68DQ2	Q68DQ2	Q68DQ2	Q68DQ2		10211.8	9803.79	10129.0	11449.6	9507.64	10223.1	10344.3	10523.7	10378.2	9218.62	10697.5	8490.23	9706.61	9055.1	10687.6	10621.5	9204.68	7572.65	9183.48	8730.59	8793.6	9572.82	9712.52	9667.95	9361.8	9634.84	9087.43	9775.93	9692.14	9313.66	9962.91	9004.26	8556.75	8249.27	9341.89	8474.37	9701.38	8582.21	8903.99	9554.99	9236.61	7509.82
Q8N8U2	Q8N8U2	Q8N8U2	Q8N8U2		43839.1	41252.6	40453.5	38145.3	37262.4	39415.3	33303.9	33328.3	31872.1	37630.5	38641.4	43522.6	39548.1	38220.2	34580.9	44691.7	42156.5	36534.6	36118.7	35225.3	32214.5	49151.4	46096.9	53145.3	32139.3	33974.9	36054.9	42925.6	43206.5	43255.2	46107.4	48728.3	47834.3	53143.4	48251.1	48992.8	46202.6	43280.6	46505.2	51226.8	44289.7	50412.2
Q96JM4	Q96JM4	Q96JM4	Q96JM4		11191.9	12985.3	11518.3	12967.6	11433.7	13605.7	12291.2	12377.3	11810.2	12457.9	12854.5	11345.3	12291.2	11814.4	11907.7	11815.6	11758.3	11575.8	11082.9	11374.9	11419.8	10440.3	10501.3	10783.8	8748.93	9462.48	9055.97	9502.86	10393.1	11977.5	10650.8	10315.5	12530.9	11182.4	12106.9	11210.6	10805.7	9701.61	10264.7	11163.4	12274.5	11724.6
Q9BSA9	Q9BSA9	Q9BSA9	Q9BSA9		5369.03	5845.42	5286.32	5095.35	4830.41	5711.09	4825.71	5290.94	4632.52	5531.31	4945.85	5973.02	5626.25	5659.77	4670.58	5432.25	5187.42	5375.23	4362.7	4591.47	4427.79	5605.98	4677.54	6212.78	6215.27	5151.77	5654.73	4504.33	5812.52	5786.81	5330.54	5407.68	5623.58	5338.7	4982.67	5967.41	5848.08	5550.4	6945.24	5586.94	6194.33	6303.74
Q9Y337	Q9Y337	Q9Y337	Q9Y337		712.257	760.775		638.927				660.409	723.433	365.782	500.662	678.577			493.217	514.497	911.018			625.328	616.336		923.614	619.412	179.664		802.691		427.25			261.336	645.785		301.591			605.657	695.159			619.215
Q66K79	Q66K79	Q66K79	Q66K79		9685.04	9749.9	9033.05	11295.7	9549.0	9631.26	10164.6	9262.91	10369.7	9800.73	10882.6	9901.72	9278.97	9404.89	10153.0	10804.3	9578.34	9385.86	9008.41	9220.9	8861.15	10303.8	10384.3	9571.4	9161.65	10183.0	10122.8	8971.71	9997.03	10188.5	8809.47	10446.3	8872.53	9754.99	8638.9	8414.19	8959.84	10126.8	9631.94	9436.56	9222.28	8754.69
Q6UXT8	Q6UXT8	Q6UXT8	Q6UXT8		12898.2	12321.9	13096.8	14658.7	10792.9	11415.3	9221.03	10820.6	13808.7	11134.2	12861.3	10329.0	11852.5	10943.8	12692.4	8938.32	10326.8	9509.43	8431.62	14025.8	8792.57	12617.0	12866.5	9606.14	8871.0	11693.5	11675.9	10786.7	14529.1	11294.6	9506.4	12098.5	10530.3	9890.75	11108.8	11917.3	14946.5	11355.1	11070.4	13689.1	12075.6	9815.28
P53384	P53384	P53384	P53384			7395.85	6868.14		7390.36		7808.54			6356.78					5151.34		5578.35	4373.78	4349.52				5000.94	3713.13							3267.58		2342.56						2435.62			
Q9UBX5	Q9UBX5	Q9UBX5	Q9UBX5		3044.45	2218.03	2243.56	2930.88	2014.79	2506.83	1727.5	2446.73	3323.91	2700.01	3008.52	1916.28	2900.15	2918.06	2600.21	2799.38	2845.18	2246.34	2466.68	1855.94	2718.95	2595.1	2557.06	2260.1	2095.75	2789.81	2624.6	1898.71	2115.59	2319.82	2083.89	1839.82	2640.49	2212.82	2189.89	2266.95	1838.76	2411.82	2426.9	2609.66	2224.36	1304.11
Q6PGQ1	Q6PGQ1	Q6PGQ1	Q6PGQ1		21486.7	20456.4	21399.9	21155.9	21344.6	20189.9	20920.5	20397.2	17605.4	21151.1	20694.4	19096.7	23538.7	23385.6	19842.4	20042.7	20476.0	21161.0	21638.9	20919.9	22347.3	19210.8	17534.4	19011.0	20700.8	20818.7	17380.7	18932.8	20242.0	16752.1	20960.0	19595.6	20639.5	20687.6	18480.7	19385.0	21214.1	18464.7	19989.7	16377.4	16280.6	15520.1
Q96B86	Q96B86	Q96B86	Q96B86		42154.4	42627.3	40685.5	48853.6	43471.0	44848.6	42745.4	44862.5	52889.6	43592.0	43675.7	47097.2	44665.9	45950.7	45303.4	40297.5	42742.4	42480.6	43192.5	46439.9	43807.2	50708.4	50170.1	48317.5	39407.1	39474.3	44375.6	46409.3	50477.8	50445.8	46225.3	41924.7	43807.6	42561.3	41453.5	42084.7	52950.7	51770.8	49004.3	45817.5	41515.4	43239.6
Q96E93	Q96E93	Q96E93	Q96E93		5198.53	5580.51	6809.06	7035.58	6433.67	4893.42	6943.76	7556.48	6970.59	8112.28	7339.32	8012.5	7602.02	5106.41	4837.31	5964.42	6350.51	6025.65	6053.44	7030.81	6704.15	6319.05	6233.27	4902.68	6952.68	7228.29	5678.37	5956.49	6052.01	6853.71	5949.72	4839.2	6410.04	6431.42	6374.83	5580.06	5701.04	4851.12	6004.17	7810.61	7508.33	6599.93
Q8ND24	Q8ND24	Q8ND24	Q8ND24		33326.0	35678.8	34779.9	37646.3	36235.2	33313.3	34547.9	32606.8	33230.1	29204.9	28834.0	30737.6	37467.5	36029.9	34037.5	32013.7	35166.1	34688.9	30819.3	31907.1	30782.3	35299.6	34967.6	36142.6	28280.3	29124.9	27867.0	30723.9	32070.8	31025.2	36643.9	30142.7	36098.7	32201.4	34406.0	35257.2	26349.0	26995.2	26999.4	35600.9	33126.9	32770.8
P01574	P01574	P01574	P01574		114712.0	118569.0	114171.0	115423.0	110788.0	106274.0	113067.0	106252.0	103251.0	83370.4	86086.1	93020.1	107465.0	117665.0	119094.0	119256.0	115068.0	122796.0	102601.0	102821.0	99883.2	107581.0	103169.0	107391.0	79571.0	94331.2	83815.3	114113.0	124838.0	118694.0	110813.0	115008.0	120055.0	130995.0	124498.0	123874.0	91969.0	84577.2	94682.1	111718.0	104436.0	107123.0
Q9BZ29	Q9BZ29	Q9BZ29	Q9BZ29		4819.62	4549.32	4375.96	4299.09	4749.54	4518.53	4392.32	4216.79	4401.97	3915.34	4032.59	3914.04	3826.03	4070.92	4519.76	4845.97	4932.37	5700.22	4226.22	4325.44	4329.83	3969.11	4410.48	4094.19	4714.66	4835.33	4793.51	5041.38	4902.72	5434.37	5398.71	4275.92	5379.61	4744.04	4880.86	5268.91	4991.94	5146.24	5315.7	5405.99	5011.28	5321.03
E9PAV3	E9PAV3	E9PAV3	E9PAV3		3008.24	3455.18	3520.06	2639.35	3022.49	3175.77	3544.43	3391.61	3745.28	3104.34	2859.08	2722.93	4025.43	2923.29	4207.44	3456.81	3543.04	4138.12	3390.29	3974.66	3373.72	3618.21	3148.73	3446.51	2700.01	2128.42	2815.79	3404.2	3793.93	3707.76	3206.68	3223.46	3258.69	2715.05	2938.33	2597.27	1968.61	1981.97	2190.49	3733.44	4140.78	3236.59
Q9P272	Q9P272	Q9P272	Q9P272		16961.0	17105.0	17678.1	16081.5	16031.6	16370.5	15022.6	14691.1	13048.5	15421.6	14839.8	15194.8	17429.1	17264.2	16181.6	15629.9	15969.0	17140.4	16545.9	16997.5	16426.0	15737.0	15296.7	16521.5	17280.1	16608.0	15125.7	15541.0	16378.1	15387.1	16168.0	15906.4	15377.0	16339.2	15042.8	16108.5	15666.0	16174.7	17171.5	14516.2	14965.1	14595.6
Q8N157	Q8N157	Q8N157	Q8N157		15259.6	14665.6	15499.0	16979.7	14908.6	13937.3	15373.2	15958.0	14948.9	16224.7	16344.3	15163.3	13650.3	13765.1	14310.4	15930.6	16300.6	16779.9	14998.8	15480.3	16043.9	17182.0	15328.9	17569.0	14427.8	15121.3	16092.0	15568.0	16439.0	17422.7	17643.8	18190.4	17580.7	15452.8	16558.3	16469.4	15334.1	16538.5	15677.9	14944.3	17506.2	15036.2
O75031	O75031	O75031	O75031		14462.5	10816.2	11277.4	15097.1	11126.8	12363.4	16119.9	13196.1	15029.0	14445.2	11281.0	10829.6	12794.7	12152.2	12164.8	12996.8	9106.23	9533.01	10943.1	9877.51	9371.49	13279.4	10008.5	12250.9	14994.7	12095.7	12091.1	10434.4	9534.07	10934.2	14478.7	12372.0	9876.78	12051.8	9738.38	10179.2	12442.7	13804.9	11439.5	12399.9	11639.7	11465.5
Q8NEL0	Q8NEL0	Q8NEL0	Q8NEL0		2285.35	2183.86	2237.31		1704.86		1735.73	2025.67	1620.17		1729.56				1841.8		2031.54	1219.5	987.391	1707.5		2157.26	1972.0			1996.93				2149.06	1619.51			1593.89		1627.84	2653.54	1669.74			1757.89	2175.31
Q96FK6	Q96FK6	Q96FK6	Q96FK6		3437.2	4126.5	4099.68	4488.27	3594.04	4034.46	4856.87	3802.47	4715.27	4661.69	4115.01	4351.74	3287.62	3402.99	2269.64	4029.56	4532.31	4115.07	3797.41	4202.32	3478.71	3942.21	4683.27	3462.86	4162.24	5056.09	4869.65	4148.54	4491.96	4029.28	4729.53	4647.21	4954.63	4453.56	4339.52	4446.05	5109.43	5618.63	5152.92	4882.31	5165.02	4261.87
O95168	O95168	O95168	O95168		4533.22	5051.95	4357.42	6583.81	4624.12	5169.68	4112.12	4342.41	4633.61	4769.42	6262.83	5512.02	5256.27	4851.01	6424.28	5923.97	4583.88	5598.21	5863.0	5414.01	6193.69	4470.6	5178.02	4037.72	3018.0	3599.07	2569.57	5124.33	5856.62	5221.79	3307.1	5768.89	4325.49	4549.77	4567.08	6783.42	4712.99	3028.35	4003.6	6066.18	4814.0	4289.61
Q5TG53	Q5TG53	Q5TG53	Q5TG53																								1125.41						1233.45		195.388		431.662									
Q15036	Q15036	Q15036	Q15036		54418.6	47024.5	53440.5	47202.4	45233.4	53453.4	50472.4	54760.0	52632.1	52259.4	54283.9	47460.3	50689.5	48855.6	51233.8	44427.9	45188.3	44338.6	45758.9	43522.8	44564.3	48926.2	50918.3	47272.7	49463.3	47438.0	46198.4	43720.2	48860.4	47119.9	45487.0	49189.4	48715.8	43973.7	43432.6	38553.9	49273.2	49989.9	50111.9	44780.4	44684.9	46382.5
Q02246	Q02246	Q02246	Q02246		3875.8	1430.75	3569.48	3283.54	3736.08	4000.76	2453.38	1842.83	2097.09	3515.62	2714.82	3064.87	3412.35	2657.44	2506.59	2698.38	3715.81	3675.26	3083.4	3062.16	2885.85	3162.7	3031.12	2937.35	2475.73	2029.45	1991.92	3365.36	2854.43	3440.39	3784.29	2569.79	3605.28	4194.65	4236.98	3636.17	3121.91	2246.92	3029.97	3237.06	3050.95	2742.41
Q99665	Q99665	Q99665	Q99665		2413.08	2049.32	2502.91	2569.66	1711.59	2137.8	2464.16	2308.87	2637.85	1820.44	1865.59	1491.91	1697.3	1957.98	2533.76	1708.32	2306.93	1802.44	1611.87	2227.26	1771.46	2060.53	1765.59	1809.1	1903.77	1766.0	1867.81	2587.77	2410.35	1711.21	1800.02	1578.91	2020.11	1482.28	1545.66	1529.59	2286.08	1820.68	1941.75	1177.91	1336.08	1641.23
Q53S08	Q53S08	Q53S08	Q53S08		14576.8	15885.9	15733.0	15497.6	14585.3	15687.3	15934.6	14503.7	16667.5	15436.8	14560.2	12708.3	15507.5	15490.8	17728.9	14526.7	14723.3	13412.9	11933.6	10650.1	12766.0	13029.4	12888.4	11818.4	12280.9	13241.8	11700.2	13150.1	12191.2	10809.9	12717.6	11936.8	12749.9	13697.4	11571.3	13478.5	13375.8	13235.3	11889.9	13548.6	13795.2	12011.4
Q9HCU5	Q9HCU5	Q9HCU5	Q9HCU5		10109.9	11154.9	10744.6	13230.9	10922.4	11433.4	11325.1	11867.4	14286.4	11944.0	13785.6	13625.3	10952.7	12031.2	12770.0	13369.0	13350.8	12099.7	12193.4	13088.4	13012.3	14551.7	12923.9	12929.3	10708.3	14762.3	13607.9	14584.3	14371.2	14737.4	14728.2	13376.8	12358.9	14000.2	12349.0	12781.1	14434.4	15207.4	14870.5	14474.1	15059.2	14004.2
Q8WWQ0	Q8WWQ0	Q8WWQ0	Q8WWQ0		21348.7	21586.8	21294.5	22660.2	22066.3	19618.9	22753.6	23298.1	18582.9	21372.2	22217.5	22254.8	21531.1	22759.8	23494.8	21884.9	22436.4	22151.5	22454.1	22233.0	21030.4	22932.2	21604.9	22249.3	22374.8	21229.1	19323.9	23388.7	22049.0	20976.7	22077.3	20925.5	20690.1	22423.7	21735.2	20841.9	21517.3	16938.7	20529.6	21446.2	23151.4	20712.5
Q9Y320	Q9Y320	Q9Y320	Q9Y320		112636.0	110313.0	109530.0	107825.0	103751.0	107870.0	104178.0	106514.0	95040.2	100480.0	98367.4	103202.0	97031.4	94004.4	89447.7	109319.0	108429.0	110047.0	104088.0	103178.0	99401.9	101849.0	100877.0	96623.4	106111.0	106995.0	99284.6	108166.0	109787.0	104715.0	112307.0	113821.0	108671.0	112134.0	112279.0	109219.0	105342.0	104594.0	106846.0	110996.0	108805.0	104599.0
Q8WUH2	Q8WUH2	Q8WUH2	Q8WUH2		8600.34	9907.32	8498.74	8252.63	8092.15	8418.65	7546.66	7434.84	7706.06	7787.91	8392.85	7733.11	8199.93	8055.19	8353.23	8796.42	9792.67	10478.1	8561.56	10369.0	9927.11	8869.81	7503.17	8908.43	8652.12	8220.46	8721.11	9465.15	9824.3	10762.2	10228.4	8759.99	8690.97	9220.02	9420.96	9683.18	10283.3	10084.2	9523.6	8198.11	8392.44	8450.19
Q8NGT9	Q8NGT9	Q8NGT9	Q8NGT9		11966.0	12013.5	13078.3	11935.2	12088.1	12559.4	13228.3	13344.7	13079.7	12964.5	12606.3	11833.1	9802.91	9087.27	10498.4	12370.9	12434.1	13105.5	13298.4	13688.1	13589.7	11737.9	12079.6	12805.6	10491.3	11078.5	10665.3	12795.5	12165.8	13102.6	12606.1	13202.2	12462.0	11971.2	11901.4	12282.2	10225.4	10040.2	10695.6	10689.2	11660.1	12001.0
